+--------------------------------------------------------------------+--------------------------------------------------------------------+------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+-------------------------------------------+
| ID                                                                 | Name                                                               | Description                                                                                                                                                                                                                                                                                                                                                                                                      | Parent                                    |
| twilightforest:alt/treasures/charm_of_life                         | twilightforest:alt/treasures/charm_of_life                         | <null>                                                                                                                                                                                                                                                                                                                                                                                                           | twilightforest:alt/root                   |
| twilightforest:alt/treasures/charms                                | twilightforest:alt/treasures/charms                                | <null>                                                                                                                                                                                                                                                                                                                                                                                                           | twilightforest:alt/root                   |
| twilightforest:alt/treasures/crumble_horn                          | twilightforest:alt/treasures/crumble_horn                          | <null>                                                                                                                                                                                                                                                                                                                                                                                                           | twilightforest:alt/root                   |
| twilightforest:alt/treasures/crumble_horn_used                     | twilightforest:alt/treasures/crumble_horn_used                     | <null>                                                                                                                                                                                                                                                                                                                                                                                                           | twilightforest:alt/root                   |
| twilightforest:alt/treasures/encased_fire_jet                      | twilightforest:alt/treasures/encased_fire_jet                      | <null>                                                                                                                                                                                                                                                                                                                                                                                                           | twilightforest:alt/root                   |
| twilightforest:alt/treasures/encased_smoker                        | twilightforest:alt/treasures/encased_smoker                        | <null>                                                                                                                                                                                                                                                                                                                                                                                                           | twilightforest:alt/root                   |
| twilightforest:alt/treasures/ender_bow                             | twilightforest:alt/treasures/ender_bow                             | <null>                                                                                                                                                                                                                                                                                                                                                                                                           | twilightforest:alt/root                   |
| twilightforest:alt/treasures/fiery_armor_set                       | twilightforest:alt/treasures/fiery_armor_set                       | <null>                                                                                                                                                                                                                                                                                                                                                                                                           | twilightforest:alt/root                   |
| twilightforest:alt/treasures/fiery_blood_tears                     | twilightforest:alt/treasures/fiery_blood_tears                     | <null>                                                                                                                                                                                                                                                                                                                                                                                                           | twilightforest:alt/root                   |
| twilightforest:alt/treasures/fiery_tool_set                        | twilightforest:alt/treasures/fiery_tool_set                        | <null>                                                                                                                                                                                                                                                                                                                                                                                                           | twilightforest:alt/root                   |
| twilightforest:alt/treasures/fire_jet                              | twilightforest:alt/treasures/fire_jet                              | <null>                                                                                                                                                                                                                                                                                                                                                                                                           | twilightforest:alt/root                   |
| twilightforest:alt/treasures/foods/any                             | twilightforest:alt/treasures/foods/any                             | <null>                                                                                                                                                                                                                                                                                                                                                                                                           | twilightforest:alt/root                   |
| twilightforest:alt/treasures/foods/experiment_115                  | twilightforest:alt/treasures/foods/experiment_115                  | <null>                                                                                                                                                                                                                                                                                                                                                                                                           | twilightforest:alt/root                   |
| twilightforest:alt/treasures/foods/hydra_chop                      | twilightforest:alt/treasures/foods/hydra_chop                      | <null>                                                                                                                                                                                                                                                                                                                                                                                                           | twilightforest:alt/root                   |
| twilightforest:alt/treasures/foods/maze_wafer                      | twilightforest:alt/treasures/foods/maze_wafer                      | <null>                                                                                                                                                                                                                                                                                                                                                                                                           | twilightforest:alt/root                   |
| twilightforest:alt/treasures/foods/meef                            | twilightforest:alt/treasures/foods/meef                            | <null>                                                                                                                                                                                                                                                                                                                                                                                                           | twilightforest:alt/root                   |
| twilightforest:alt/treasures/foods/vension                         | twilightforest:alt/treasures/foods/vension                         | <null>                                                                                                                                                                                                                                                                                                                                                                                                           | twilightforest:alt/root                   |
| twilightforest:alt/treasures/giant_blocks                          | twilightforest:alt/treasures/giant_blocks                          | <null>                                                                                                                                                                                                                                                                                                                                                                                                           | twilightforest:alt/root                   |
| twilightforest:alt/treasures/giant_tool_set                        | twilightforest:alt/treasures/giant_tool_set                        | <null>                                                                                                                                                                                                                                                                                                                                                                                                           | twilightforest:alt/root                   |
| twilightforest:alt/treasures/glass_sword                           | twilightforest:alt/treasures/glass_sword                           | <null>                                                                                                                                                                                                                                                                                                                                                                                                           | twilightforest:alt/root                   |
| twilightforest:alt/treasures/ice_bomb                              | twilightforest:alt/treasures/ice_bomb                              | <null>                                                                                                                                                                                                                                                                                                                                                                                                           | twilightforest:alt/root                   |
| twilightforest:alt/treasures/ice_bow                               | twilightforest:alt/treasures/ice_bow                               | <null>                                                                                                                                                                                                                                                                                                                                                                                                           | twilightforest:alt/root                   |
| twilightforest:alt/treasures/ice_sword                             | twilightforest:alt/treasures/ice_sword                             | <null>                                                                                                                                                                                                                                                                                                                                                                                                           | twilightforest:alt/root                   |
| twilightforest:alt/treasures/ironwood_armor_set                    | twilightforest:alt/treasures/ironwood_armor_set                    | <null>                                                                                                                                                                                                                                                                                                                                                                                                           | twilightforest:alt/root                   |
| twilightforest:alt/treasures/ironwood_tool_set                     | twilightforest:alt/treasures/ironwood_tool_set                     | <null>                                                                                                                                                                                                                                                                                                                                                                                                           | twilightforest:alt/root                   |
| twilightforest:alt/treasures/knightmetal_armor_set                 | twilightforest:alt/treasures/knightmetal_armor_set                 | <null>                                                                                                                                                                                                                                                                                                                                                                                                           | twilightforest:alt/root                   |
| twilightforest:alt/treasures/knightmetal_tool_set                  | twilightforest:alt/treasures/knightmetal_tool_set                  | <null>                                                                                                                                                                                                                                                                                                                                                                                                           | twilightforest:alt/root                   |
| twilightforest:alt/treasures/lifedrain_scepter                     | twilightforest:alt/treasures/lifedrain_scepter                     | <null>                                                                                                                                                                                                                                                                                                                                                                                                           | twilightforest:alt/root                   |
| twilightforest:alt/treasures/magic_beans                           | twilightforest:alt/treasures/magic_beans                           | <null>                                                                                                                                                                                                                                                                                                                                                                                                           | twilightforest:alt/root                   |
| twilightforest:alt/treasures/magic_beanstalk                       | twilightforest:alt/treasures/magic_beanstalk                       | <null>                                                                                                                                                                                                                                                                                                                                                                                                           | twilightforest:alt/root                   |
| twilightforest:alt/treasures/magic_map                             | twilightforest:alt/treasures/magic_map                             | <null>                                                                                                                                                                                                                                                                                                                                                                                                           | twilightforest:alt/root                   |
| twilightforest:alt/treasures/magic_trees                           | twilightforest:alt/treasures/magic_trees                           | <null>                                                                                                                                                                                                                                                                                                                                                                                                           | twilightforest:alt/root                   |
| twilightforest:alt/treasures/maps                                  | twilightforest:alt/treasures/maps                                  | <null>                                                                                                                                                                                                                                                                                                                                                                                                           | twilightforest:alt/root                   |
| twilightforest:alt/treasures/maze_map                              | twilightforest:alt/treasures/maze_map                              | <null>                                                                                                                                                                                                                                                                                                                                                                                                           | twilightforest:alt/root                   |
| twilightforest:alt/treasures/mazebreaker_pickaxe                   | twilightforest:alt/treasures/mazebreaker_pickaxe                   | <null>                                                                                                                                                                                                                                                                                                                                                                                                           | twilightforest:alt/root                   |
| twilightforest:alt/treasures/minotaur_axe_diamond                  | twilightforest:alt/treasures/minotaur_axe_diamond                  | <null>                                                                                                                                                                                                                                                                                                                                                                                                           | twilightforest:alt/root                   |
| twilightforest:alt/treasures/minotaur_axe_gold                     | twilightforest:alt/treasures/minotaur_axe_gold                     | <null>                                                                                                                                                                                                                                                                                                                                                                                                           | twilightforest:alt/root                   |
| twilightforest:alt/treasures/minotaur_axes                         | twilightforest:alt/treasures/minotaur_axes                         | <null>                                                                                                                                                                                                                                                                                                                                                                                                           | twilightforest:alt/root                   |
| twilightforest:alt/treasures/moon_dial                             | twilightforest:alt/treasures/moon_dial                             | <null>                                                                                                                                                                                                                                                                                                                                                                                                           | twilightforest:alt/root                   |
| twilightforest:alt/treasures/naga_armor_set                        | twilightforest:alt/treasures/naga_armor_set                        | <null>                                                                                                                                                                                                                                                                                                                                                                                                           | twilightforest:alt/root                   |
| twilightforest:alt/treasures/ore_map                               | twilightforest:alt/treasures/ore_map                               | <null>                                                                                                                                                                                                                                                                                                                                                                                                           | twilightforest:alt/root                   |
| twilightforest:alt/treasures/phantom_armor_set                     | twilightforest:alt/treasures/phantom_armor_set                     | <null>                                                                                                                                                                                                                                                                                                                                                                                                           | twilightforest:alt/root                   |
| twilightforest:alt/treasures/phantom_armor_worn                    | twilightforest:alt/treasures/phantom_armor_worn                    | <null>                                                                                                                                                                                                                                                                                                                                                                                                           | twilightforest:alt/root                   |
| twilightforest:alt/treasures/scepters                              | twilightforest:alt/treasures/scepters                              | <null>                                                                                                                                                                                                                                                                                                                                                                                                           | twilightforest:alt/root                   |
| twilightforest:alt/treasures/seeker_bow                            | twilightforest:alt/treasures/seeker_bow                            | <null>                                                                                                                                                                                                                                                                                                                                                                                                           | twilightforest:alt/root                   |
| twilightforest:alt/treasures/shield_scepter                        | twilightforest:alt/treasures/shield_scepter                        | <null>                                                                                                                                                                                                                                                                                                                                                                                                           | twilightforest:alt/root                   |
| twilightforest:alt/treasures/smoking_block                         | twilightforest:alt/treasures/smoking_block                         | <null>                                                                                                                                                                                                                                                                                                                                                                                                           | twilightforest:alt/root                   |
| twilightforest:alt/treasures/steeleaf_armor_set                    | twilightforest:alt/treasures/steeleaf_armor_set                    | <null>                                                                                                                                                                                                                                                                                                                                                                                                           | twilightforest:alt/root                   |
| twilightforest:alt/treasures/steeleaf_tool_set                     | twilightforest:alt/treasures/steeleaf_tool_set                     | <null>                                                                                                                                                                                                                                                                                                                                                                                                           | twilightforest:alt/root                   |
| twilightforest:alt/treasures/tools                                 | twilightforest:alt/treasures/tools                                 | <null>                                                                                                                                                                                                                                                                                                                                                                                                           | twilightforest:alt/root                   |
| twilightforest:alt/treasures/tree_of_mining                        | twilightforest:alt/treasures/tree_of_mining                        | <null>                                                                                                                                                                                                                                                                                                                                                                                                           | twilightforest:alt/root                   |
| twilightforest:alt/treasures/tree_of_sorting                       | twilightforest:alt/treasures/tree_of_sorting                       | <null>                                                                                                                                                                                                                                                                                                                                                                                                           | twilightforest:alt/root                   |
| twilightforest:alt/treasures/tree_of_time                          | twilightforest:alt/treasures/tree_of_time                          | <null>                                                                                                                                                                                                                                                                                                                                                                                                           | twilightforest:alt/root                   |
| twilightforest:alt/treasures/tree_of_transformation                | twilightforest:alt/treasures/tree_of_transformation                | <null>                                                                                                                                                                                                                                                                                                                                                                                                           | twilightforest:alt/root                   |
| twilightforest:alt/treasures/triple_bow                            | twilightforest:alt/treasures/triple_bow                            | <null>                                                                                                                                                                                                                                                                                                                                                                                                           | twilightforest:alt/root                   |
| twilightforest:alt/treasures/trophies                              | twilightforest:alt/treasures/trophies                              | <null>                                                                                                                                                                                                                                                                                                                                                                                                           | twilightforest:alt/root                   |
| twilightforest:alt/treasures/trophy_pedestal                       | twilightforest:alt/treasures/trophy_pedestal                       | <null>                                                                                                                                                                                                                                                                                                                                                                                                           | twilightforest:alt/root                   |
| twilightforest:alt/treasures/twilight_scepter                      | twilightforest:alt/treasures/twilight_scepter                      | <null>                                                                                                                                                                                                                                                                                                                                                                                                           | twilightforest:alt/root                   |
| twilightforest:alt/treasures/uncrafting_table                      | twilightforest:alt/treasures/uncrafting_table                      | <null>                                                                                                                                                                                                                                                                                                                                                                                                           | twilightforest:alt/root                   |
| twilightforest:alt/treasures/yeti_armor_set                        | twilightforest:alt/treasures/yeti_armor_set                        | <null>                                                                                                                                                                                                                                                                                                                                                                                                           | twilightforest:alt/root                   |
| twilightforest:alt/treasures/zombie_scepter                        | twilightforest:alt/treasures/zombie_scepter                        | <null>                                                                                                                                                                                                                                                                                                                                                                                                           | twilightforest:alt/root                   |
| twilightforest:arborist                                            | [Maniacal Dendrologist]                                            | Get your axes and shears ready. Search every nook and cranny and get anything and everything that comes from trees! Craft, loot, obtain every slab... sapling... leaves... more... everything. ALL OF IT!                                                                                                                                                                                                        | twilightforest:root                       |
| twilightforest:arctic_armor_dyed                                   | [Getting in Fashion]                                               | Dye all four pieces of Arctic Armor.                                                                                                                                                                                                                                                                                                                                                                             | twilightforest:progress_yeti              |
| twilightforest:break_glass_sword                                   | [One Hit Wonder]                                                   | Hope you made good use of that.                                                                                                                                                                                                                                                                                                                                                                                  | twilightforest:progress_yeti              |
| twilightforest:experiment_115                                      | [Mystery Meat?]                                                    | It looks like cake, though...                                                                                                                                                                                                                                                                                                                                                                                    | twilightforest:progress_knights           |
| twilightforest:experiment_115_115                                  | [Eating 115 Everyday, 115 Years, Forever]                          | eating experiment one-hundred-fifteen all day, forever, one-hundred-fifteen times experiment one-hundred-fifteen, experiment one-hundred-fifteen dot com, double-u double-u double-u dot experiment one-hundred-fifteen dot com, one-hundred-fifteen years, every minute experiment one-hundred-fifteen dot com, double-u double-u double-u dot one-hundred-fifteen times experiment one-hundred-fifteen dot com | twilightforest:experiment_115             |
| twilightforest:experiment_115_self_replenishing                    | [Making a note: Huge Success!]                                     | It's so delicious and moist!                                                                                                                                                                                                                                                                                                                                                                                     | twilightforest:experiment_115             |
| twilightforest:fiery_set                                           | [Gallons of Blood and Tears]                                       | Wield a fiery tool or weapon while wearing at least one piece of fiery armor.                                                                                                                                                                                                                                                                                                                                    | twilightforest:progress_hydra             |
| twilightforest:ghast_trap                                          | [Something Strange in Towerwood]                                   | Slay the Carminite Ghastlings around a Ghast Trap and activate to wrench the Ur-Ghast from the sky!                                                                                                                                                                                                                                                                                                              | twilightforest:progress_knights           |
| twilightforest:hedge                                               | [Bug Stomper]                                                      | Defeat a spider in a Hedge Maze.                                                                                                                                                                                                                                                                                                                                                                                 | twilightforest:root                       |
| twilightforest:hill1                                               | [The Boots Are Mine!]                                              | Defeat a Redcap Goblin in a small Hollow Hill.                                                                                                                                                                                                                                                                                                                                                                   | twilightforest:root                       |
| twilightforest:hill2                                               | [What Was That Noise?]                                             | Defeat a Redcap Sapper in a medium Hollow Hill.                                                                                                                                                                                                                                                                                                                                                                  | twilightforest:hill1                      |
| twilightforest:hill3                                               | [I See Right Through You]                                          | Defeat a Twilight Wraith in a large Hollow Hill.                                                                                                                                                                                                                                                                                                                                                                 | twilightforest:hill2                      |
| twilightforest:hydra_chop                                          | [Hydra Chop, Baby!]                                                | Chow down on some overpowered Hydra meat when your food bar is empty.                                                                                                                                                                                                                                                                                                                                            | twilightforest:progress_hydra             |
| twilightforest:lich_scepters                                       | [By Our Powers Combined!]                                          | Acquire all four scepters of power.                                                                                                                                                                                                                                                                                                                                                                              | twilightforest:progress_lich              |
| twilightforest:magic_map                                           | [I Can See Forever]                                                | Craft the Magic Map.                                                                                                                                                                                                                                                                                                                                                                                             | twilightforest:magic_map_focus            |
| twilightforest:magic_map_focus                                     | [With Fire It Writes]                                              | Craft the Magic Map Focus with a Raven Feather, Glowstone Dust, and Torchberries.                                                                                                                                                                                                                                                                                                                                | twilightforest:twilight_hunter            |
